Date,Time,Temperature (˚C)
2024-03-25,0:00,-12
2024-03-25,1:00,-13
2024-03-25,2:00,-14
2024-03-25,3:00,-14
2024-03-25,4:00,-15
2024-03-25,5:00,-16
2024-03-25,6:00,-15
2024-03-25,7:00,-14
2024-03-25,8:00,-13
2024-03-25,9:00,-13
2024-03-25,10:00,-12
2024-03-25,11:00,-10
2024-03-25,12:00,-8
2024-03-25,13:00,-7
2024-03-25,14:00,-7
2024-03-25,15:00,-6
2024-03-25,16:00,-6
2024-03-25,17:00,-8
2024-03-25,18:00,-10
2024-03-25,19:00,-12
2024-03-25,20:00,-13
2024-03-25,21:00,-14
2024-03-25,22:00,-14
2024-03-25,23:00,-15
2024-03-26,0:00,-14
2024-03-26,1:00,-13
2024-03-26,2:00,-13
2024-03-26,3:00,-14
2024-03-26,4:00,-12
2024-03-26,5:00,-11
2024-03-26,6:00,-10
2024-03-26,7:00,-8
2024-03-26,8:00,-8
2024-03-26,9:00,-7
2024-03-26,10:00,-6
2024-03-26,11:00,-5
2024-03-26,12:00,-4
2024-03-26,13:00,-4
2024-03-26,14:00,-3
2024-03-26,15:00,-2
2024-03-26,16:00,-1
2024-03-26,17:00,0
2024-03-26,18:00,-1
2024-03-26,19:00,-2
2024-03-26,20:00,-3
2024-03-26,21:00,-3
2024-03-26,22:00,-4
2024-03-26,23:00,-4
2024-03-27,0:00,-5
2024-03-27,1:00,-7
2024-03-27,2:00,-8
2024-03-27,3:00,-7
2024-03-27,4:00,-7
2024-03-27,5:00,-5
2024-03-27,6:00,-4
2024-03-27,7:00,-3
2024-03-27,8:00,-3
2024-03-27,9:00,-2
2024-03-27,10:00,-1
2024-03-27,11:00,0
2024-03-27,12:00,1
2024-03-27,13:00,1
2024-03-27,14:00,2
2024-03-27,15:00,3
2024-03-27,16:00,4
2024-03-27,17:00,5
2024-03-27,18:00,4
2024-03-27,19:00,3
2024-03-27,20:00,2
2024-03-27,21:00,2
2024-03-27,22:00,1
2024-03-27,23:00,-1
2024-03-28,0:00,12
2024-03-28,1:00,11
2024-03-28,2:00,10
2024-03-28,3:00,9
2024-03-28,4:00,9
2024-03-28,5:00,8
2024-03-28,6:00,8
2024-03-28,7:00,7
2024-03-28,8:00,7
2024-03-28,9:00,7
2024-03-28,10:00,6
2024-03-28,11:00,6
2024-03-28,12:00,6
2024-03-28,13:00,5
2024-03-28,14:00,5
2024-03-28,15:00,5
2024-03-28,16:00,5
2024-03-28,17:00,4
2024-03-28,18:00,4
2024-03-28,19:00,4
2024-03-28,20:00,4
2024-03-28,21:00,3
2024-03-28,22:00,3
2024-03-28,23:00,3
2024-03-29,0:00,3
2024-03-29,1:00,2
2024-03-29,2:00,2
2024-03-29,3:00,2
2024-03-29,4:00,2
2024-03-29,5:00,1
2024-03-29,6:00,1
2024-03-29,7:00,1
2024-03-29,8:00,1
2024-03-29,9:00,0
2024-03-29,10:00,0
2024-03-29,11:00,0
2024-03-29,12:00,-1
2024-03-29,13:00,-1
2024-03-29,14:00,-1
2024-03-29,15:00,-1
2024-03-29,16:00,-2
2024-03-29,17:00,-2
2024-03-29,18:00,-2
2024-03-29,19:00,-2
2024-03-29,20:00,-2
2024-03-29,21:00,-3
2024-03-29,22:00,-3
2024-03-29,23:00,-3
2024-03-30,0:00,-4
2024-03-30,1:00,-5
2024-03-30,2:00,-5
2024-03-30,3:00,-6
2024-03-30,4:00,-6
2024-03-30,5:00,-7
2024-03-30,6:00,-7
2024-03-30,7:00,-8
2024-03-30,8:00,-8
2024-03-30,9:00,-9
2024-03-30,10:00,-9
2024-03-30,11:00,-10
2024-03-30,12:00,-10
2024-03-30,13:00,-10
2024-03-30,14:00,-11
2024-03-30,15:00,-11
2024-03-30,16:00,-11
2024-03-30,17:00,-12
2024-03-30,18:00,-12
2024-03-30,19:00,-12
2024-03-30,20:00,-12
2024-03-30,21:00,-13
2024-03-30,22:00,-13
2024-03-30,23:00,-13
2024-03-31,0:00,-14
2024-03-31,1:00,-14
2024-03-31,2:00,-14
2024-03-31,3:00,-14
2024-03-31,4:00,-14
2024-03-31,5:00,-14
2024-03-31,6:00,-14
2024-03-31,7:00,-14
2024-03-31,8:00,-14
2024-03-31,9:00,-14
2024-03-31,10:00,-14
2024-03-31,11:00,-14
2024-03-31,12:00,-14
2024-03-31,13:00,-14
2024-03-31,14:00,-14
2024-03-31,15:00,-14
2024-03-31,16:00,-14
2024-03-31,17:00,-14
2024-03-31,18:00,-14
2024-03-31,19:00,-14
2024-03-31,20:00,-14
2024-03-31,21:00,-14
2024-03-31,22:00,-14
2024-03-31,23:00,-14
2024-04-01,0:00,-13
2024-04-01,1:00,-13
2024-04-01,2:00,-13
2024-04-01,3:00,-13
2024-04-01,4:00,-13
2024-04-01,5:00,-13
2024-04-01,6:00,-13
2024-04-01,7:00,-13
2024-04-01,8:00,-13
2024-04-01,9:00,-13
2024-04-01,10:00,-13
2024-04-01,11:00,-13
2024-04-01,12:00,-13
2024-04-01,13:00,-13
2024-04-01,14:00,-13
2024-04-01,15:00,-13
2024-04-01,16:00,-13
2024-04-01,17:00,-13
2024-04-01,18:00,-13
2024-04-01,19:00,-13
2024-04-01,20:00,-13
2024-04-01,21:00,-13
2024-04-01,22:00,-13
2024-04-01,23:00,-13
2024-04-02,0:00,-12
2024-04-02,1:00,-12
2024-04-02,2:00,-12
2024-04-02,3:00,-12
2024-04-02,4:00,-12
2024-04-02,5:00,-12
2024-04-02,6:00,-12
2024-04-02,7:00,-12
2024-04-02,8:00,-12
2024-04-02,9:00,-12
2024-04-02,10:00,-12
2024-04-02,11:00,-12
2024-04-02,12:00,-12
2024-04-02,13:00,-12
2024-04-02,14:00,-12
2024-04-02,15:00,-12
2024-04-02,16:00,-12
2024-04-02,17:00,-12
2024-04-02,18:00,-12
2024-04-02,19:00,-12
2024-04-02,20:00,-12
2024-04-02,21:00,-12
2024-04-02,22:00,-12
2024-04-02,23:00,-12
2024-04-03,0:00,-11
2024-04-03,1:00,-11
2024-04-03,2:00,-11
2024-04-03,3:00,-11
2024-04-03,4:00,-11
2024-04-03,5:00,-11
2024-04-03,6:00,-11
2024-04-03,7:00,-11
2024-04-03,8:00,-11
2024-04-03,9:00,-11
2024-04-03,10:00,-11
2024-04-03,11:00,-11
2024-04-03,12:00,-11
2024-04-03,13:00,-11
2024-04-03,14:00,-11
2024-04-03,15:00,-11
2024-04-03,16:00,-11
2024-04-03,17:00,-11
2024-04-03,18:00,-11
2024-04-03,19:00,-11
2024-04-03,20:00,-11
2024-04-03,21:00,-11
2024-04-03,22:00,-11
2024-04-03,23:00,-11
2024-04-04,0:00,-10
2024-04-04,1:00,-10
2024-04-04,2:00,-10
2024-04-04,3:00,-10
2024-04-04,4:00,-10
2024-04-04,5:00,-10
2024-04-04,6:00,-10
2024-04-04,7:00,-10
2024-04-04,8:00,-10
2024-04-04,9:00,-10
2024-04-04,10:00,-10
2024-04-04,11:00,-10
2024-04-04,12:00,-10
2024-04-04,13:00,-10
2024-04-04,14:00,-10
2024-04-04,15:00,-10
2024-04-04,16:00,-10
2024-04-04,17:00,-10
2024-04-04,18:00,-10
2024-04-04,19:00,-10
2024-04-04,20:00,-10
2024-04-04,21:00,-10
2024-04-04,22:00,-10
2024-04-04,23:00,-10
2024-04-05,0:00,-9
2024-04-05,1:00,-9
2024-04-05,2:00,-9
2024-04-05,3:00,-9
2024-04-05,4:00,-9
2024-04-05,5:00,-9
2024-04-05,6:00,-9
2024-04-05,7:00,-9
2024-04-05,8:00,-9
2024-04-05,9:00,-9
2024-04-05,10:00,-9
2024-04-05,11:00,-9
2024-04-05,12:00,-9
2024-04-05,13:00,-9
2024-04-05,14:00,-9
2024-04-05,15:00,-9
2024-04-05,16:00,-9
2024-04-05,17:00,-9
2024-04-05,18:00,-9
2024-04-05,19:00,-9
2024-04-05,20:00,-9
2024-04-05,21:00,-9
2024-04-05,22:00,-9
2024-04-05,23:00,-9
2024-04-06,0:00,-8
2024-04-06,1:00,-8
2024-04-06,2:00,-8
2024-04-06,3:00,-8
2024-04-06,4:00,-8
2024-04-06,5:00,-8
2024-04-06,6:00,-8
2024-04-06,7:00,-8
2024-04-06,8:00,-8
2024-04-06,9:00,-8
2024-04-06,10:00,-8
2024-04-06,11:00,-8
2024-04-06,12:00,-8
2024-04-06,13:00,-8
2024-04-06,14:00,-8
2024-04-06,15:00,-8
2024-04-06,16:00,-8
2024-04-06,17:00,-8
2024-04-06,18:00,-8
2024-04-06,19:00,-8
2024-04-06,20:00,-8
2024-04-06,21:00,-8
2024-04-06,22:00,-8
2024-04-06,23:00,-8
2024-04-07,0:00,-7
2024-04-07,1:00,-7
2024-04-07,2:00,-7
2024-04-07,3:00,-7
2024-04-07,4:00,-7
2024-04-07,5:00,-7
2024-04-07,6:00,-7
2024-04-07,7:00,-7
2024-04-07,8:00,-7
2024-04-07,9:00,-7
2024-04-07,10:00,-7
2024-04-07,11:00,-7
2024-04-07,12:00,-7
2024-04-07,13:00,-7
2024-04-07,14:00,-7
2024-04-07,15:00,-7
2024-04-07,16:00,-7
2024-04-07,17:00,-7
2024-04-07,18:00,-7
2024-04-07,19:00,-7
2024-04-07,20:00,-7
2024-04-07,21:00,-7
2024-04-07,22:00,-7
2024-04-07,23:00,-7
2024-04-08,0:00,-6
2024-04-08,1:00,-6
2024-04-08,2:00,-6
2024-04-08,3:00,-6
2024-04-08,4:00,-6
2024-04-08,5:00,-6
2024-04-08,6:00,-6
2024-04-08,7:00,-6
2024-04-08,8:00,-6
2024-04-08,9:00,-6
2024-04-08,10:00,-6
2024-04-08,11:00,-6
2024-04-08,12:00,-6
2024-04-08,13:00,-6
2024-04-08,14:00,-6
2024-04-08,15:00,-6
2024-04-08,16:00,-6
2024-04-08,17:00,-6
2024-04-08,18:00,-6
2024-04-08,19:00,-6
2024-04-08,20:00,-6
2024-04-08,21:00,-6
2024-04-08,22:00,-6
2024-04-08,23:00,-6
2024-04-09,0:00,-5
2024-04-09,1:00,-5
2024-04-09,2:00,-5
2024-04-09,3:00,-5
2024-04-09,4:00,-5
2024-04-09,5:00,-5
2024-04-09,6:00,-5
2024-04-09,7:00,-5
2024-04-09,8:00,-5
2024-04-09,9:00,-5
2024-04-09,10:00,-5
2024-04-09,11:00,-5
2024-04-09,12:00,-5
2024-04-09,13:00,-5
2024-04-09,14:00,-5
2024-04-09,15:00,-5
2024-04-09,16:00,-5
2024-04-09,17:00,-5
2024-04-09,18:00,-5
2024-04-09,19:00,-5
2024-04-09,20:00,-5
2024-04-09,21:00,-5
2024-04-09,22:00,-5
2024-04-09,23:00,-5
