Date,Time,Temperature (˚C)
2024-07-01,0:00,14
2024-07-01,1:00,15
2024-07-01,2:00,15
2024-07-01,3:00,15
2024-07-01,4:00,16
2024-07-01,5:00,17
2024-07-01,6:00,18
2024-07-01,7:00,18
2024-07-01,8:00,19
2024-07-01,9:00,20
2024-07-01,10:00,21
2024-07-01,11:00,22
2024-07-01,12:00,22
2024-07-01,13:00,23
2024-07-01,14:00,24
2024-07-01,15:00,24
2024-07-01,16:00,23
2024-07-01,17:00,23
2024-07-01,18:00,22
2024-07-01,19:00,20
2024-07-01,20:00,20
2024-07-01,21:00,20
2024-07-01,22:00,19
2024-07-01,23:00,18
2024-07-02,0:00,17
